bangumiId,kind,lang,title,content
228,primary,zh-CN,银仙,《银仙》改编自同名漫画。自称银仙的狐狸精被电波少女市松小雏召唤，之后与她共同生活，照顾她的起居。作品以日常搞笑、吐槽与温暖氛围为特色，银仙的管家婆形象与少女的呆萌形成有趣反差。银仙在照顾小雏的过程中闹出各种笑话，动画节奏明快、笑点密集，在搞笑之余也展现了两位主角奇妙的缘分与温暖，是一部轻松治愈的日常作品。细节之处见用心，角色们的互动充满生活气息与小小的幽默，将平淡日常描绘得富有诗意，观感舒适惬意，能让人暂时放下烦恼，沉浸在那份简单纯粹的美好之中。
229,primary,zh-CN,飙速宅男 GRANDE ROAD,《飙速宅男 GRANDE ROAD》是《飙速宅男》第二季，小野田坂道与总北高中自行车部继续征战高中联赛。本季围绕与箱根学园的激烈对决展开，队伍在爬坡、冲刺与团队协作中经历考验。作品以热血比赛与角色成长著称，总北与箱根的山岳战惊心动魄，小野田的爬坡能力与队友们的配合令人热血沸腾，动画对公路自行车比赛的描写细致入微，是一部让观众屏息的运动番。动画的节奏把控张弛有度，战斗场面的分镜与作画都相当扎实，主角在与强敌的较量中不断突破自我，和同伴之间建立的信任与羁绊也为剧情增添了温度，热血与感动并存，值得一看。
230,primary,zh-CN,心理测量者2,《心理测量者2》是《心理测量者》第二季，讲述新监视官常守朱在失去同伴后继续与罪案战斗。本季引入新的执行官与理念对立的敌人，围绕集体心理与制度批判展开。作品延续赛博朋克世界观与哲学思辨，朱在制度与正义间的坚持、新敌人的诡计与集体犯罪的剖析贯穿全片，动画的氛围压抑、思考深刻，对心理测量制度的批判更加尖锐，是科幻犯罪题材的续作典范。作品在热血的打斗之外，也细致刻画了角色们各自的信念与选择，每一次战斗都不仅是力量的较量，更是意志的碰撞，高潮部分张力十足，让观众在肾上腺素飙升的同时也为之动容。
231,primary,zh-CN,记录的地平线 第二季,《记录的地平线 第二季》延续第一季，城惠与记录的地平线公会在幻境神话世界中继续探索。本季围绕生产系、战斗与公会战争展开，城惠以谋略周旋于各方势力。作品以策略、经营与MMO冒险为特色，城惠冷静的头脑战、公会经营与大规模会战充满看点，动画对MMO世界的设定还原细致，群像刻画生动，是网游题材动画中注重策略与智斗的佳作。动作设计与演出张力俱佳，随着剧情推进，主角面对的敌人越来越强，战斗方式与自身局限的突破层层升级，配乐与画面配合出色，将热血少年向作品应有的爽快感与成长感都演绎得十分到位。
232,primary,zh-CN,四月是你的谎言,《四月是你的谎言》改编自同名漫画。钢琴少年有马公生在失去演奏能力后，遇见自由奔放的小提琴少女宫园薰，两人在音乐中互相救赎。作品以音乐、青春与催泪叙事著称，薰的秘密与公生的重生打动无数观众。公生在与薰的合奏中重新找回钢琴的快乐，薰的活泼与隐藏的悲伤形成强烈对比，动画的演奏场面充满感染力、配乐优美动人，结局的告别催人泪下，是公认的催泪神作。歌舞演出的画面制作精良，每一首歌都与角色心境和剧情推进紧密呼应，少女们在聚光灯下的闪耀与幕后流下的汗水同样动人，传递出追逐梦想、不懈努力的正能量，感染力十足。
233,primary,zh-CN,临时女友,《临时女友》改编自同名游戏，讲述圣樱学园少女们的日常。作品以单元剧形式呈现多位女角色的生活片段，围绕友情、社团活动与青春展开。动画以清新风格与可爱角色为特色，众多登场少女各具个性，从日常琐事到校园活动都充满温馨气息，作品节奏舒缓、氛围治愈，展现了少女们平凡而闪光的校园生活，适合喜欢轻松日常的观众。作品在甜蜜之余也保留了青春特有的青涩与迷茫，主角在感情中的成长与抉择贯穿始终，配乐温润、画面明丽，将恋爱中的忐忑、欢喜与遗憾都拿捏得恰到好处，适合慢慢品味。
234,primary,zh-CN,七人魔法使,《七人魔法使》改编自同名轻小说。少年春日新在遇见魔法使少女后，被卷入魔王的复活阴谋，进入魔法学园成为救世主候选人。作品以魔法战斗、后宫元素与热血叙事为特色，新在学园中的成长与战斗充满看点。动画将魔法学园的设定与后宫互动结合，新的觉醒与魔王教的阴谋交织，战斗场面华丽、福利元素充足，是一部轻松愉快的奇幻战斗番。动作设计与演出张力俱佳，随着剧情推进，主角面对的敌人越来越强，战斗方式与自身局限的突破层层升级，配乐与画面配合出色，将热血少年向作品应有的爽快感与成长感都演绎得十分到位。
235,primary,zh-CN,日常系的异能战斗,《日常系的异能战斗》改编自同名轻小说。文艺部成员们突然觉醒超能力，却因没有实际危机而只能用于日常。作品以吐槽、反差与对超能力题材的解构为特色，以异能战斗为幌子展开搞笑日常。主角们的超能力强大却无用武之地，各种无厘头的日常冲突充满笑料，动画的演出夸张、吐槽密集，将严肃的超能力题材彻底搞笑化，是一部独具创意的喜剧作品。动画的节奏把控张弛有度，战斗场面的分镜与作画都相当扎实，主角在与强敌的较量中不断突破自我，和同伴之间建立的信任与羁绊也为剧情增添了温度，热血与感动并存，值得一看。
236,primary,zh-CN,怪盗Joker,《怪盗Joker》改编自同名漫画，讲述少年怪盗Joker在世界各地偷取宝物，与宿敌和警察斗智斗勇。作品以华丽的魔术、夸张的演出与单元冒险为特色，Joker与搭档小八的冒险充满乐趣。Joker的偷盗计划总是出人意料、充满奇思妙想，动画的演出色彩鲜明、节奏明快，在冒险中展现Joker的机智与魅力，是一部适合全家观看的少年冒险作品。作品在展现华丽舞台的同时，也刻画了偶像们背后的努力、竞争与友情，角色在一次次演出与挑战中逐渐成长，演唱的曲目旋律优美、记忆点十足，整体氛围励志而温暖。
237,primary,zh-CN,大图书馆的牧羊人,《大图书馆的牧羊人》改编自同名游戏。少年笕京太郎在遇见白崎鶫后加入图书部，帮助有困难的学生。作品以校园恋爱、图书馆与青春日常为特色，围绕少女们的梦想与牧羊人传说展开。图书部的成员们在帮助他人的过程中逐渐成长，京太郎与鶫的互动充满温馨，动画的氛围宁静治愈，在图书馆的背景下探讨梦想与选择，是一部治愈系的校园作品。人物关系的推进张弛有度，误会、巧合与真诚交织出丰富的情感层次，在轻松搞笑的日常包裹下，那份真挚的心意愈发显得珍贵，收尾的温情与感动足以让人心头一暖。
238,primary,zh-CN,爱·天地无用！,《爱·天地无用！》是天地无用系列的短篇，继续讲述天地与人们的日常生活。作品以Q版角色、轻松搞笑与经典后宫设定为特色，是对原作的戏仿与回顾。天地与众多角色的Q版互动充满萌点与笑料，动画在极短的篇幅内呈现轻松的日常，是天地无用系列的粉丝向轻松作品，适合轻松观看。作品没有强烈的戏剧冲突，却以细腻的笔触捕捉日常中的微小幸福，角色的喜怒哀乐真实可感，在平实的叙述中悄然传递着生活的温度，适合在忙碌之余放松心情慢慢欣赏。
239,primary,zh-CN,关于完全听不懂老公在说什么的事,《关于完全听不懂老公在说什么的事》改编自四格漫画，讲述御宅族老公与普通老婆的日常。老婆听不懂老公的宅语，两人在爆笑中互相理解，作品以短篇吐槽、温馨氛围与宅文化梗为特色。动画以老婆的视角吐槽老公的宅言行，从动漫游戏到同人，充满ACG梗与笑料，在搞笑中展现了夫妻间的理解与温情，是一部轻松治愈的日常作品。画风清新、节奏舒缓，人物之间的相处自然而温暖，那些平凡琐碎的片段在动画的演绎下变得闪闪发光，传递出一种治愈人心的宁静力量，是治愈系爱好者不容错过的作品。
240,primary,zh-CN,BUDDY COMPLEX 完结篇 -回到那片天空的未来-,《BUDDY COMPLEX 完结篇 -回到那片天空的未来-》是《BUDDY COMPLEX》的完结篇，讲述渡濑青叶与弓原雏的最终故事。青叶在时间跳跃的真相中做出选择，两人跨越时间的羁绊迎来结局。作品以机器人战斗与感人结局著称，青叶与雏的命运在时间悖论中交织，动画的结局充满温情与震撼，为这对跨越时间的搭档画上圆满句号，是机器人动画中的感人完结篇。动作设计与演出张力俱佳，随着剧情推进，主角面对的敌人越来越强，战斗方式与自身局限的突破层层升级，配乐与画面配合出色，将热血少年向作品应有的爽快感与成长感都演绎得十分到位。
241,primary,zh-CN,凭物语,《凭物语》是物语系列的一部分，讲述阿良良木历在失去影缝余弦的庇护后，面对新的怪异危机。本作聚焦余接的过去，历在无法依赖吸血鬼力量的情况下展开故事。作品延续系列独特的对白与画面风格，余接的存在与来历在细致的叙述中展开，历与怪异们的周旋充满物语系列的特色，动画的风格化演出与精妙对白一如既往地出色，是物语系列的精彩篇章。歌舞演出的画面制作精良，每一首歌都与角色心境和剧情推进紧密呼应，少女们在聚光灯下的闪耀与幕后流下的汗水同样动人，传递出追逐梦想、不懈努力的正能量，感染力十足。
242,primary,zh-CN,侦探歌剧 少女福尔摩斯 TD,《侦探歌剧 少女福尔摩斯 TD》是少女福尔摩斯系列动画，讲述侦探少女们对抗怪盗帝国的故事。四位少女在米莉霍姆学院的日常与冒险中展现搞笑与推理，作品以可爱的角色、恶搞与轻松氛围为特色。少女们的推理总是闹出各种乌龙，怪盗帝国的登场更是笑料不断，动画节奏明快、角色可爱，是一部轻松搞笑的侦探喜剧。画风清新、节奏舒缓，人物之间的相处自然而温暖，那些平凡琐碎的片段在动画的演绎下变得闪闪发光，传递出一种治愈人心的宁静力量，是治愈系爱好者不容错过的作品。
243,primary,zh-CN,绝对双刃,《绝对双刃》改编自同名轻小说。少年九重透流进入使用超能力器具的昊陵学园，以绝对双刃的能力战斗。作品以学园战斗、后宫元素与热血对决为特色，透流在战斗中逐渐揭开世界的真相。透流与朱莉、优梨爱等少女的互动充满福利与暧昧，学园内的排位战与强敌的对决热血十足，动画的人设精美、战斗场面流畅，是一部标准的轻改学园战斗番。动作设计与演出张力俱佳，随着剧情推进，主角面对的敌人越来越强，战斗方式与自身局限的突破层层升级，配乐与画面配合出色，将热血少年向作品应有的爽快感与成长感都演绎得十分到位。
244,primary,zh-CN,大家集合！Falcom学园 2期,《大家集合！Falcom学园 2期》延续第一季，Falcom游戏角色们在学园中的恶搞日常继续。轨迹、伊苏等作品的角色齐聚一堂，以反差与玩梗制造笑料，作品充满对Falcom作品的致敬与吐槽。黎恩、艾丝蒂尔等角色的Q版互动充满萌点，动画在极短的篇幅内呈现密集的搞笑桥段，是Falcom粉丝不容错过的轻松作品。作品没有强烈的戏剧冲突，却以细腻的笔触捕捉日常中的微小幸福，角色的喜怒哀乐真实可感，在平实的叙述中悄然传递着生活的温度，适合在忙碌之余放松心情慢慢欣赏。
245,primary,zh-CN,Doamaiger D,《Doamaiger D》是短篇动画，讲述巨大机械人Doamaiger D的战斗。神秘的巨大人偶与操纵者们在东京展开对决，作品以超展开的剧情、电波系演出与荒诞搞笑为特色。动画的剧情无厘头、演出风格独特，在正经的机器人设定中混入大量恶搞元素，节奏飞快、脑洞大开，是一部充满电波系的实验性搞笑作品。作品在热血的打斗之外，也细致刻画了角色们各自的信念与选择，每一次战斗都不仅是力量的较量，更是意志的碰撞，高潮部分张力十足，让观众在肾上腺素飙升的同时也为之动容。
246,primary,zh-CN,百合熊风暴,《百合熊风暴》是几原邦彦执导的原创动画。在人类与熊的对立世界中，少女红羽与熊少女银子展开跨越种族的友情。作品以几原风格的象征手法、抽象演出与童话氛围著称，探讨爱、孤独与理解。人类与熊的隔阂、红羽与银子的羁绊在几原独特的叙事中展开，动画的画面色彩鲜明、演出极具冲击力，结局的解读空间很大，是风格独树一帜的艺术作品。角色的个性塑造鲜明，舞台上的自信与生活中的可爱形成反差，团队协作与个人成长双线并进，歌舞编排赏心悦目，让观众既能享受视听盛宴，也能为少女们的梦想与坚持而感动。
247,primary,zh-CN,元气少女缘结神◎,《元气少女缘结神◎》是《元气少女缘结神》第二季。女高中生桃园奈奈生在成为土地神后，与神使巴卫共同生活，本季围绕神使的过去与奈奈生的成长展开。作品以恋爱、和风神话与温情日常为特色，巴卫过去的篇章令人动容，奈奈生在神使与少女身份间的摇摆充满甜蜜与苦涩，动画的和风氛围优美，巴卫与奈奈生的互动甜度十足，是恋爱题材中的经典作品。角色间的互动刻画得细腻自然，那些欲言又止的心意、别扭又真诚的靠近都真实而动人，情感线与日常情节交织，让观众在会心一笑与怦然心动之间反复横跳，是一部让人回味无穷的恋爱物语。
248,primary,zh-CN,美男高校地球防卫部LOVE！,《美男高校地球防卫部LOVE！》是原创搞笑动画。一所美男高中的男学生们被外星人选中，变身地球防卫部成员与邪恶势力战斗。作品以美男、变身、搞笑与恶搞为特色，用少女动画的画风包装少年变身题材。男生们变身时那夸张华丽的画面与正经的外星人设定形成强烈反差，动画的演出充满恶搞精神，笑点密集，是极具创意的搞笑作品。作品在热血的打斗之外，也细致刻画了角色们各自的信念与选择，每一次战斗都不仅是力量的较量，更是意志的碰撞，高潮部分张力十足，让观众在肾上腺素飙升的同时也为之动容。
249,primary,zh-CN,军人少女,《军人少女》改编自漫画，讲述军中少女们的日常生活。作品以军事题材与搞笑日常结合，少女们围绕军事知识展开各种无厘头互动，短小精悍，充满吐槽。从枪械知识到军事战术，少女们用搞笑的方式展现军事爱好者的日常，动画节奏明快、笑点密集，是一部轻松解压的军事题材泡面番。细节之处见用心，角色们的互动充满生活气息与小小的幽默，将平淡日常描绘得富有诗意，观感舒适惬意，能让人暂时放下烦恼，沉浸在那份简单纯粹的美好之中。
250,primary,zh-CN,舰队Collection,《舰队Collection》改编自同名游戏，讲述舰娘们与深海栖舰战斗的故事。吹雪等舰娘们在镇守府中生活与战斗，作品以拟人化舰船、战斗与治愈日常为特色，舰娘们的人设与羁绊成为看点。吹雪从新手驱逐舰成长为可靠战士的历程、镇守府舰娘们的温馨日常与深海栖舰的战斗交织，动画将舰船拟人化的设定展现得淋漓尽致，是舰娘题材的代表作。动画的节奏把控张弛有度，战斗场面的分镜与作画都相当扎实，主角在与强敌的较量中不断突破自我，和同伴之间建立的信任与羁绊也为剧情增添了温度，热血与感动并存，值得一看。
251,primary,zh-CN,新妹魔王的契约者,《新妹魔王的契约者》改编自同名轻小说。少年东城刃更在父亲突然再婚后，拥有了两个魔王之女义妹，并被迫与她们签订主从契约。刃更在照顾这对任性的义妹过程中卷入魔族争斗，体内的魔王血脉逐渐觉醒。作品以福利、热血战斗与后宫元素结合，刃更与澪、万理亚的日常互动充满笑料与暧昧，战斗场面热力十足，是典型的轻改学园战斗后宫番。作品在热血的打斗之外，也细致刻画了角色们各自的信念与选择，每一次战斗都不仅是力量的较量，更是意志的碰撞，高潮部分张力十足，让观众在肾上腺素飙升的同时也为之动容。
252,primary,zh-CN,血型君2,《血型君2》是《血型君》系列第二季，以拟人化的A、B、O、AB四种血型角色展开搞笑日常。作品通过血型君们的性格差异制造大量笑料，将不同血型的特征夸张演绎，让观众在会心一笑中了解血型知识。动画画风简单可爱、篇幅短小精悍，每话围绕一个日常话题展开吐槽，节奏明快，是一部轻松解压的泡面番。细节之处见用心，角色们的互动充满生活气息与小小的幽默，将平淡日常描绘得富有诗意，观感舒适惬意，能让人暂时放下烦恼，沉浸在那份简单纯粹的美好之中。
253,primary,zh-CN,PUNKISS！2次元,《PUNKISS！2次元》是短篇搞笑动画，讲述几位主角围绕二次元话题展开的爆笑日常。作品以声优、动画、游戏等御宅文化为切入点，角色们一本正经地讨论各种宅话题，充满玩梗与吐槽。动画节奏飞快、笑点密集，将二次元爱好者的日常状态演绎得生动有趣，是一部适合御宅族观看的轻松搞笑泡面番。作品没有强烈的戏剧冲突，却以细腻的笔触捕捉日常中的微小幸福，角色的喜怒哀乐真实可感，在平实的叙述中悄然传递着生活的温度，适合在忙碌之余放松心情慢慢欣赏。
254,primary,zh-CN,东京喰种√A,《东京喰种√A》是《东京喰种》动画第二季，讲述金木研在加入青铜树后的故事。金木在喰种与人类之间挣扎，逐步走向黑暗，与董香、四方莲示等人的关系发生变化。作品延续前作的压抑氛围，战斗场面更加残酷，金木的蜕变与喰种组织间的纷争交织，结局充满悲剧色彩，让人对金木的命运唏嘘不已。作品在热血的打斗之外，也细致刻画了角色们各自的信念与选择，每一次战斗都不仅是力量的较量，更是意志的碰撞，高潮部分张力十足，让观众在肾上腺素飙升的同时也为之动容。
255,primary,zh-CN,路人女主的养成方法,《路人女主的养成方法》改编自同名轻小说。御宅族少年安艺伦也立志制作美少女游戏，在偶遇少女加藤惠后将她作为女主角，与学姐霞之丘诗羽、青梅竹马英梨梨等展开制作游戏的奋斗。作品以御宅文化、恋爱喜剧与游戏制作为题材，伦也与各具魅力的女主角们的互动充满笑料与心动，制作过程中的群像刻画生动，是轻改恋爱喜剧的代表作。人物关系的推进张弛有度，误会、巧合与真诚交织出丰富的情感层次，在轻松搞笑的日常包裹下，那份真挚的心意愈发显得珍贵，收尾的温情与感动足以让人心头一暖。
256,primary,zh-CN,幸腹涂鸦,《幸腹涂鸦》改编自同名漫画。女高中生町子凉在奶奶去世后独自生活，因外婆的料理而心灵受创，却在与少女麒麟相遇后重拾对美食的热爱。作品以美食与少女的日常为题材，每一话都围绕美味的料理展开，凉与麒麟、椎名等朋友的餐桌时光充满温馨与治愈。动画对食物的描绘精致诱人，氛围温暖明亮，是一部让人胃口大开的治愈系作品。作品没有强烈的戏剧冲突，却以细腻的笔触捕捉日常中的微小幸福，角色的喜怒哀乐真实可感，在平实的叙述中悄然传递着生活的温度，适合在忙碌之余放松心情慢慢欣赏。
257,primary,zh-CN,铳皇无尽的法夫纳,《铳皇无尽的法夫纳》改编自同名轻小说。在被龙族威胁的世界，少女们觉醒为具有龙之力的D，在学园中接受训练。少年物部悠作为唯一的男性D进入学园，与少女们共同对抗龙族的威胁。作品以学园战斗、龙之力量与后宫元素为特色，悠在一次次战斗中展现实力，与女主角们的互动充满福利与暧昧，是一部标准的轻改战斗后宫番。作品在热血的打斗之外，也细致刻画了角色们各自的信念与选择，每一次战斗都不仅是力量的较量，更是意志的碰撞，高潮部分张力十足，让观众在肾上腺素飙升的同时也为之动容。
258,primary,zh-CN,苍穹之法芙娜 EXODUS,《苍穹之法芙娜 EXODUS》是《苍穹之法芙娜》系列续作，讲述人类在与异界生命体Festum的战争中驾驶法芙娜机甲作战。少年少女们为守护同伴与家园，在残酷的战场上不断战斗与牺牲。作品以悲壮的战争、深刻的生死探讨与人物羁绊著称，第二代驾驶员们的成长令人动容，动画的机战场面精良，氛围沉重而感人，是硬核科幻动画中的经典。动作设计与演出张力俱佳，随着剧情推进，主角面对的敌人越来越强，战斗方式与自身局限的突破层层升级，配乐与画面配合出色，将热血少年向作品应有的爽快感与成长感都演绎得十分到位。
259,primary,zh-CN,偶像大师 灰姑娘女孩,《偶像大师 灰姑娘女孩》是偶像大师系列动画，讲述346事务所推出的灰姑娘企划中，少女们成为偶像的故事。女主角岛村卯月与涩谷凛、本田未央等女孩在偶像道路上不断成长，作品以群像刻画、音乐与追梦故事为特色，灰姑娘女孩们各具个性，从选拔到登台的历程充满汗水与感动。动画的歌舞场面华丽，角色塑造细腻，是偶像动画中的佳作。歌舞演出的画面制作精良，每一首歌都与角色心境和剧情推进紧密呼应，少女们在聚光灯下的闪耀与幕后流下的汗水同样动人，传递出追逐梦想、不懈努力的正能量，感染力十足。
260,primary,zh-CN,JOJO的奇妙冒险 星尘斗士 埃及篇,《JOJO的奇妙冒险 星尘斗士 埃及篇》是系列第三部后半段，承太郎一行人在前往埃及的旅途中与DIO的部下们展开激战。本季的替身对决更加精彩，从与DIO的宿命决战到各种匪夷所思的替身能力，充满智斗与热血。承太郎、花京院、波鲁那雷夫等角色的牺牲与勇气令人动容，结局与DIO的决战更是载入史册的经典篇章。作品在热血的打斗之外，也细致刻画了角色们各自的信念与选择，每一次战斗都不仅是力量的较量，更是意志的碰撞，高潮部分张力十足，让观众在肾上腺素飙升的同时也为之动容。
261,primary,zh-CN,死亡游行,《死亡游行》是原创动画，讲述在人类死后前往的迷之酒吧奎因德基姆中，死者们被要求参与游戏，以揭示生前的本性。酒保德基姆与神秘少女知幸旁观并裁决这些亡魂，作品以人性、生死与善恶为主题，每一话都通过游戏展现死者的人生与选择。动画的氛围沉重而深刻，对生与死的探讨发人深省，是一部极具思想深度的作品。作品的氛围轻松明快，少女们的笑容与陪伴极具感染力，互动中流露的真挚情谊温暖人心，节奏舒缓、画风讨喜，是一部能让人会心一笑的治愈小品。
262,primary,zh-CN,暗杀教室,《暗杀教室》改编自同名漫画。被称为杀老师的谜之生物担任3年E班的班主任，并扬言一年后毁灭地球，学生们必须在一年的时间内暗杀他。作品以校园、搞笑与热血为主题，E班的学生们在暗杀训练中成长，杀老师与学生的羁绊令人动容。动画将爆笑与温情巧妙结合，杀老师的形象深入人心，是一部充满教育意义与感动的作品。动画的节奏把控张弛有度，战斗场面的分镜与作画都相当扎实，主角在与强敌的较量中不断突破自我，和同伴之间建立的信任与羁绊也为剧情增添了温度，热血与感动并存，值得一看。
263,primary,zh-CN,无头骑士异闻录×2 承,《无头骑士异闻录×2 承》是《无头骑士异闻录》系列续作，讲述池袋街头都市传说的新篇章。本季在原有角色基础上加入新人物，围绕头颅、妖刀与各色怪人的事件不断展开，群像叙事一如既往地精彩。动画以多线并行的叙事手法，将池袋的混乱日常与阴谋交织，节奏紧凑、反转不断，是都市群像剧的经典。画风清新、节奏舒缓，人物之间的相处自然而温暖，那些平凡琐碎的片段在动画的演绎下变得闪闪发光，传递出一种治愈人心的宁静力量，是治愈系爱好者不容错过的作品。
264,primary,zh-CN,ALDNOAH.ZERO 第二季,《ALDNOAH.ZERO 第二季》延续第一季，讲述伊奈帆与斯雷因在火星与地球战争中的命运。本季伊奈帆与公主艾瑟依拉姆的关系、斯雷因的野心进一步展开，战争的真相逐渐揭晓。作品以宏大的战争场面、智斗与悲剧色彩著称，结局的反转令人震撼，伊奈帆的冷静与斯雷因的执念贯穿始终，是一部充满冲击力的原创机器人作品。动作设计与演出张力俱佳，随着剧情推进，主角面对的敌人越来越强，战斗方式与自身局限的突破层层升级，配乐与画面配合出色，将热血少年向作品应有的爽快感与成长感都演绎得十分到位。
265,primary,zh-CN,DOG DAYS'',《DOG DAYS''》是《DOG DAYS》系列动画，讲述被召唤到异世界比斯柯提的少年真红，作为勇者参与国家间的运动竞技。作品以奇幻、竞技与轻松氛围为特色，真红在比赛中与各国勇士交锋，与公主们的互动充满温馨。动画的战斗以体育竞技的形式呈现，没有死亡与血腥，氛围明亮欢乐，是一部适合全年龄观看的轻松作品。动画的节奏把控张弛有度，战斗场面的分镜与作画都相当扎实，主角在与强敌的较量中不断突破自我，和同伴之间建立的信任与羁绊也为剧情增添了温度，热血与感动并存，值得一看。
266,primary,zh-CN,旋转少女,《旋转少女》是原创动画，讲述在架空的关东，少女们为了世界和平而展开的公路冒险。主角森友望未与伙伴们踏上旅途，作品以公路片、群像与无厘头搞笑为特色，少女们在旅途中遭遇各种奇人怪事，画风独特、演出大胆。动画在搞笑与正经之间切换，充满时代感与想象力，是一部风格鲜明的原创作品。作品在展现华丽舞台的同时，也刻画了偶像们背后的努力、竞争与友情，角色在一次次演出与挑战中逐渐成长，演唱的曲目旋律优美、记忆点十足，整体氛围励志而温暖。
267,primary,zh-CN,黑子的篮球 第三季,《黑子的篮球 第三季》是系列最终季，诚凛高中篮球队在全国大赛中迎战最强的洛山高中。本季赤司征十郎的帝王能力全面展现，黑子与火神的最终对决扣人心弦。作品以热血比赛与角色成长著称，奇迹的世代全员集结，每一场比赛都充满战术与激情，黑子与火神在决战中的爆发令人热血沸腾，为系列画上圆满句号。动作设计与演出张力俱佳，随着剧情推进，主角面对的敌人越来越强，战斗方式与自身局限的突破层层升级，配乐与画面配合出色，将热血少年向作品应有的爽快感与成长感都演绎得十分到位。
268,primary,zh-CN,夜之小双侠,《夜之小双侠》是《小双侠》系列的后续作品，以反派小双侠的子孙为主角。为了阻止以盗取世界宝物为乐的财阀，继承小双侠之名的少年们展开行动。作品以机战、搞笑与复仇为主题，画风华丽、演出夸张，在对经典的致敬中加入全新故事，充满张力与反转，是一部别具一格的机战动画。动画的节奏把控张弛有度，战斗场面的分镜与作画都相当扎实，主角在与强敌的较量中不断突破自我，和同伴之间建立的信任与羁绊也为剧情增添了温度，热血与感动并存，值得一看。
269,primary,zh-CN,纯洁的玛利亚,《纯洁的玛利亚》改编自同名漫画，讲述中世纪法国，拥有强大魔力的魔女玛利亚以自己的方式守护村庄的和平。玛利亚用魔法阻止战争，却因此被教会与天使视为眼中钉。作品以魔女、战争与信仰为主题，玛利亚在善与恶之间的抉择充满思辨，动画的画风古典优美，对中世纪历史的描绘细致，是一部兼具奇幻与思想的作品。作品在热血的打斗之外，也细致刻画了角色们各自的信念与选择，每一次战斗都不仅是力量的较量，更是意志的碰撞，高潮部分张力十足，让观众在肾上腺素飙升的同时也为之动容。
270,primary,zh-CN,圣剑使的禁咒咏唱,《圣剑使的禁咒咏唱》改编自同名轻小说。拥有前世记忆的少年灰村诸叶，在转生后进入学园，成为拥有双重前世的圣剑使。作品以学园战斗、禁咒与后宫元素为特色，诸叶在与魔导系学生的战斗中逐渐展露实力，与女主角们的互动充满福利。动画的战斗场面华丽，设定新颖，是典型的轻改学园战斗后宫番。动作设计与演出张力俱佳，随着剧情推进，主角面对的敌人越来越强，战斗方式与自身局限的突破层层升级，配乐与画面配合出色，将热血少年向作品应有的爽快感与成长感都演绎得十分到位。
271,primary,zh-CN,战国无双,《战国无双》改编自同名游戏，讲述战国武将们在天下一统之路上的战斗。真田幸村、明智光秀等武将各怀信念，在战场上挥洒热血。作品以华丽的动作场面与武将群像为特色，无双式的战斗演出充满爽快感，武将们的羁绊与宿命交织，动画在历史框架下演绎武将们的英雄物语，是游戏改编动画中的热血之作。动画的节奏把控张弛有度，战斗场面的分镜与作画都相当扎实，主角在与强敌的较量中不断突破自我，和同伴之间建立的信任与羁绊也为剧情增添了温度，热血与感动并存，值得一看。
272,primary,zh-CN,美少女战士Crystal 第二季,《美少女战士Crystal 第二季》延续第一季，月野兔与伙伴们继续对抗新的敌人。本季的黑色月亮篇中，来自未来的敌人入侵，水手战士们与小小兔的命运交织。作品忠实还原原作漫画，变身与战斗场面华丽，月野兔在守护爱与正义的战斗中不断成长，是经典魔法少女系列的忠实再现。作品在热血的打斗之外，也细致刻画了角色们各自的信念与选择，每一次战斗都不仅是力量的较量，更是意志的碰撞，高潮部分张力十足，让观众在肾上腺素飙升的同时也为之动容。
273,primary,zh-CN,伊斯卡,《伊斯卡》是短篇动画，讲述少年伊斯卡在奇妙世界中的冒险。作品以奇幻设定与独特的画风为特色，伊斯卡在旅途中遭遇各种奇妙事件，故事简短而富有想象力。动画的氛围轻松神秘，画风辨识度高，是一部充满艺术气息的短篇作品。作品没有强烈的戏剧冲突，却以细腻的笔触捕捉日常中的微小幸福，角色的喜怒哀乐真实可感，在平实的叙述中悄然传递着生活的温度，适合在忙碌之余放松心情慢慢欣赏。整体而言，该作在题材表达与情感渲染上均有可取之处，剧情张弛有度，角色令人印象深刻，是一部完成度较高、值得推荐的作品。
274,primary,zh-CN,Go! Princess 光之美少女,《Go! Princess 光之美少女》是光之美少女系列动画，讲述三位少女为实现梦想而变身光之美少女，与妄图夺取梦想的敌人战斗。作品以公主、梦想与魔法为主题，春野遥等少女们在战斗中守护大家的梦想，变装与战斗场面华丽。动画在热血战斗与温馨日常间取得平衡，传递着追梦与友情的力量，是少女向魔法少女动画的佳作。动画的节奏把控张弛有度，战斗场面的分镜与作画都相当扎实，主角在与强敌的较量中不断突破自我，和同伴之间建立的信任与羁绊也为剧情增添了温度，热血与感动并存，值得一看。
275,primary,zh-CN,动画心疗系,《动画心疗系》是短篇动画，以心理医疗为题材，用搞笑的方式科普心理健康知识。主角与护士们用夸张的演出讲解各种心理症状，作品以恶搞、科普与无厘头为特色，在欢笑中传递心理健康常识。动画篇幅短小、笑点密集，将严肃的心理学话题以轻松的方式呈现，兼具娱乐性与科普价值。画风清新、节奏舒缓，人物之间的相处自然而温暖，那些平凡琐碎的片段在动画的演绎下变得闪闪发光，传递出一种治愈人心的宁静力量，是治愈系爱好者不容错过的作品。
